subject_id,timestamp,hr,hrv,steps,sleep_flag,device_model
subj_01,2025-05-01T00:00:00,89,56,5,1,model_X
subj_01,2025-05-01T00:01:00,48,40,17,1,model_X
subj_01,2025-05-01T00:02:00,66,80,0,1,model_X
subj_01,2025-05-01T00:03:00,82,42,0,1,model_X
subj_01,2025-05-01T00:04:00,64,60,7,1,model_X
subj_01,2025-05-01T00:05:00,70,75,6,1,model_X
subj_01,2025-05-01T00:06:00,73,73,10,1,model_X
subj_01,2025-05-01T00:07:00,56,63,0,1,model_X
subj_01,2025-05-01T00:08:00,55,27,0,1,model_X
subj_01,2025-05-01T00:09:00,72,38,0,1,model_X
subj_01,2025-05-01T00:10:00,72,74,0,1,model_X
subj_01,2025-05-01T00:11:00,62,63,0,1,model_X
subj_01,2025-05-01T00:12:00,53,49,0,1,model_X
subj_01,2025-05-01T00:13:00,81,56,6,1,model_X
subj_01,2025-05-01T00:14:00,71,77,3,1,model_X
subj_01,2025-05-01T00:15:00,71,55,24,1,model_X
subj_01,2025-05-01T00:16:00,99,71,0,1,model_X
subj_01,2025-05-01T00:17:00,75,59,0,1,model_X
subj_01,2025-05-01T00:18:00,55,54,0,1,model_X
subj_01,2025-05-01T00:19:00,74,35,0,1,model_X
subj_01,2025-05-01T00:20:00,75,35,4,1,model_X
subj_01,2025-05-01T00:21:00,72,49,17,1,model_X
subj_01,2025-05-01T00:22:00,77,58,18,1,model_X
subj_01,2025-05-01T00:23:00,71,59,0,1,model_X
subj_01,2025-05-01T00:24:00,70,28,0,1,model_X
subj_01,2025-05-01T00:25:00,64,79,31,1,model_X
subj_01,2025-05-01T00:26:00,65,54,0,1,model_X
subj_01,2025-05-01T00:27:00,70,75,23,1,model_X
subj_01,2025-05-01T00:28:00,55,43,0,1,model_X
subj_01,2025-05-01T00:29:00,91,37,21,1,model_X
subj_01,2025-05-01T00:30:00,66,40,0,1,model_X
subj_01,2025-05-01T00:31:00,66,54,31,1,model_X
subj_01,2025-05-01T00:32:00,63,59,0,1,model_X
subj_01,2025-05-01T00:33:00,70,78,18,1,model_X
subj_01,2025-05-01T00:34:00,76,38,17,1,model_X
subj_01,2025-05-01T00:35:00,91,46,0,1,model_X
subj_01,2025-05-01T00:36:00,79,55,0,1,model_X
subj_01,2025-05-01T00:37:00,61,47,0,1,model_X
subj_01,2025-05-01T00:38:00,73,61,12,1,model_X
subj_01,2025-05-01T00:39:00,67,35,13,1,model_X
subj_01,2025-05-01T00:40:00,59,34,15,1,model_X
subj_01,2025-05-01T00:41:00,67,49,4,1,model_X
subj_01,2025-05-01T00:42:00,79,51,1,1,model_X
